FID,dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,X_Coord,Y_Coord,Shape_Area,PDensity,AV_Inc_Rate,Inc_Rate,AV_Tmax,AV_Tmin,AV_Rfall,AV_Popn
0,MASAKA,Masaka,"335,700",335700,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,31.85558349,-0.49125774,2197.374846,154.3104491,2014.4,0.005940818,25.2,17.2,2.72,339077.8993
1,BUTEBO,Butebo,"121,200",121200,PALLISA,BUTEBO,BUTEBO,BUTEBO,BUTEBO,33.98428948,1.182228229,237.8107564,749.4015552,645.6,0.003622575,24.8,18,14.14,178215.7507
2,ALEBTONG,Alebtong,"266,100",266100,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,33.25570815,2.266683575,1554.604156,173.277397,32.6,0.00012102,27,18.2,8.2,269377.7615
3,TORORO,Tororo,"597,500",597500,TORORO,TORORO,TORORO,TORORO,TORORO,34.08224567,0.724973589,1191.189961,507.7154242,964.6,0.001594946,25,17.4,15.7,604785.5165
4,MOROTO,Moroto,"118,500",118500,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,34.63164758,2.648687491,3542.469775,33.73940713,644.2,0.005389855,27,19,16.18,119520.83
5,KAGADI,Kagadi,"430,200",430200,KIBAALE,KAGADI,KAGADI,KAGADI,KAGADI,30.81063925,1.014759742,1556.015428,277.3126938,3760.2,0.008714195,26.6,17.8,13.52,431502.8298
6,KAMULI,Kamuli,"558,500",558500,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,33.10749043,0.937092453,1516.142043,372.9040261,3064.6,0.005420469,27.2,17.4,9.96,565375.472
7,BUDAKA,Budaka,"253,100",253100,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,33.98856588,1.059667832,410.8439869,624.1343261,327.2,0.001276022,25,17.4,15.7,256421.8349
8,MARACHA,Maracha,"208,300",208300,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,30.92691875,3.23693937,439.3445226,477.8698819,761.8,0.003628491,27,19,14.38,209949.5151
9,BUIKWE,Buikwe,"474,100",474100,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,33.04039905,0.305759286,1452.038998,330.3997045,1267,0.002640941,24.4,18.4,8.02,479753.2558
10,LUWERO,Luwero,"523,600",523600,LUWERO,LUWERO,LUWERO,LUWERO,LUWERO,32.58325388,0.828944293,2215.976213,238.2867361,3123.2,0.005914729,27.2,17.2,5.12,528037.7391
11,MPIGI,Mpigi,"286,600",286600,MPIGI,MPIGI,MPIGI,MPIGI,MPIGI,32.15897101,0.067045116,1524.27516,189.9399179,775.2,0.002677529,24.4,21.4,6.96,289520.6987
12,KAYUNGA,Kayunga,"407,700",407700,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,KAYUNGA,32.89254433,0.981911916,1777.601748,232.1415985,907,0.00219796,27.2,17.4,9.96,412655.3113
13,KYANKWANZI,Kyankwanzi,"282,800",282800,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,KYANKWANZI,31.64157516,1.121404347,2463.447556,116.5069391,1572.4,0.005478579,27.2,18.2,3.22,287008.7343
14,KIBOGA,Kiboga,"171,200",171200,KIBOGA,KIBOGA,KIBOGA,KIBOGA,KIBOGA,31.95664773,0.840237379,1573.210994,110.1939162,1782.8,0.010283904,27.2,18.2,3.22,173358.2805
15,MUKONO,Mukono,"701,400",701400,MUKONO,MUKONO,MUKONO,MUKONO,MUKONO,32.7735516,0.275549674,2782.053301,255.5046895,4956.6,0.006972998,24.6,18.8,4.54,710827.6649
16,NAKASEKE,Nakaseke,"234,600",234600,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,NAKASEKE,32.16925121,1.048734315,3475.454316,68.05188223,3049.2,0.012892412,24.6,18.8,5.08,236511.2078
17,KASSANDA,Kassanda,"312,700",312700,MUBENDE,MUBENDE,MUBENDE,KASSANDA,KASSANDA,31.75480314,0.538224056,1918.039079,182.7345543,2771.6,0.007907741,24.4,21.4,6.96,350492.0161
18,MBALE,Mbale,"586,300",586300,MBALE,MBALE,MBALE,MBALE,MBALE,34.19841761,1.019239443,517.8187138,1145.315006,1434.8,0.002419294,24.8,18,14.14,593065.5434
19,BUKWO,Bukwo,"119,100",119100,BUKWO,BUKWO,BUKWO,BUKWO,BUKWO,34.68632401,1.278515853,560.1314686,215.8775873,219.2,0.001812771,23.4,13.6,10.6,120919.83
20,KAPCHORWA,Kapchorwa,"123,800",123800,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,KAPCHORWA,34.43003521,1.344533171,381.5943102,328.3134283,751.2,0.005996047,24.8,18,14.14,125282.5362
21,BUKEDEA,Bukedea,"259,300",259300,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,BUKEDEA,34.12431007,1.362279378,1049.670629,251.5218185,115,0.000435581,24.8,18,14.14,264015.0654
22,KABAROLE,Kabarole,"337,800",337800,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE,30.33457826,0.63594274,1313.422038,260.5501844,1567.8,0.004581366,27.4,16.6,5,342212.3543
23,MASINDI,Masindi,"340,500",340500,MASINDI,MASINDI,MASINDI,MASINDI,MASINDI,31.71229008,1.743848485,3921.710825,87.87960783,1360,0.003946165,26.4,18.6,5.12,344638.4093
24,KITAGWENDA,Kitagwenda,"178,300",178300,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,KITAGWENDA,30.34111041,0.012223198,716.5644209,306.951048,616,0.002800634,27.4,16.6,5,219950.2
25,BUSIA,Busia,"384,000",384000,BUSIA,BUSIA,BUSIA,BUSIA,BUSIA,34.00534568,0.411841822,761.9166537,509.0356872,1712.2,0.004414676,25,17.4,15.7,387842.7674
26,KALANGALA,Kalangala,"67,200",67200,KALANGALA,KALANGALA,KALANGALA,KALANGALA,KALANGALA,32.44176529,-0.578521906,9044.690256,7.505128305,298,0.004389999,25.2,17.2,2.72,67881.56085
27,NTUNGAMO,Ntungamo,"540,800",540800,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,NTUNGAMO,30.27224187,-0.942122599,2025.373227,269.4553232,2650,0.004855725,25.8,15.8,6.08,545747.5975
28,MBARARA,Mbarara,"390,700",390700,MBARARA,MBARARA,MBARARA,MBARARA,MBARARA,30.60633335,-0.493294881,1242.785909,434.171419,2419.2,0.00448347,24.6,15.8,0.44,539582.1217
29,MITOOMA,Mitooma,"194,300",194300,MITOOMA,MITOOMA,MITOOMA,MITOOMA,MITOOMA,30.02254358,-0.624298208,545.0732715,359.5544581,310.8,0.001585848,24.6,15.8,0.24,195983.5248
30,NAKASONGOLA,Nakasongola,"215,200",215200,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,NAKASONGOLA,32.4256299,1.35193589,3508.634041,62.08802501,867,0.003979909,27.2,17.4,9.96,217844.1581
31,MUBENDE,Mubende,"554,800",554800,MUBENDE,MUBENDE,MUBENDE,MUBENDE,MUBENDE,31.37908272,0.504043056,2711.44167,192.1036701,1312.4,0.002519592,25.2,17.2,2.72,520877.896
32,BUVUMA,Buvuma,"128,900",128900,BUVUMA,BUVUMA,BUVUMA,BUVUMA,BUVUMA,33.20887989,-0.391683027,9612.04233,13.70192713,191.6,0.001454783,24.6,18.8,5.08,131703.5036
33,KABERAMAIDO,Kaberamaido,"132,700",132700,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,33.12851396,1.694386122,886.7666079,136.7473959,233.2,0.001923092,27.4,18.6,10.3,121263.0244
34,SOROTI,Soroti,"363,600",363600,SOROTI,SOROTI,SOROTI,SOROTI,SOROTI,33.59094927,1.771080414,1415.267083,260.6419388,1254.4,0.003400583,27.4,18.6,10.3,368877.9564
35,BUNYANGABU,Bunyangabu,"195,100",195100,KABAROLE,KABAROLE,BUNYANGABU,BUNYANGABU,BUNYANGABU,30.17252681,0.494828331,499.0826449,394.2118231,939,0.004772693,27.4,16.6,5,196744.2793
36,IBANDA,Ibanda,"277,300",277300,IBANDA,IBANDA,IBANDA,IBANDA,IBANDA,30.48952855,-0.079168628,966.7086342,289.5069126,1894.6,0.0067696,24.2,15.8,0.44,279868.8321
37,WAKISO,Wakiso,"2,915,200",2915200,WAKISO,WAKISO,WAKISO,WAKISO,WAKISO,32.44603301,0.220384242,2806.89422,1061.974163,15801.2,0.005300906,24.6,18.8,5.08,2980849.139
38,AMOLATAR,Amolatar,"170,100",170100,AMOLATAR,AMOLATAR,AMOLATAR,AMOLATAR,AMOLATAR,32.73588259,1.619869427,1794.532148,101.9123379,501.6,0.002742708,27,18.2,8.2,182884.9667
39,LAMWO,Lamwo,"143,800",143800,LAMWO,LAMWO,LAMWO,LAMWO,LAMWO,32.72385538,3.550607498,5440.371642,26.70701957,24.4,0.000167933,27.2,18.4,4.4,145296.1119
40,KAABONG,Kaabong,"125,400",125400,KAABONG,KAABONG,KAABONG,KAABONG,KAABONG,34.1556303,3.543348506,4745.731855,32.14489281,944,0.006188093,23.4,15.8,23.08,152551.0418
41,IGANGA,Iganga,"402,600",402600,IGANGA,IGANGA,IGANGA,IGANGA,IGANGA,33.47893318,0.72723142,638.1013406,625.9149842,3400.2,0.00851333,24.4,18.4,8.02,399397.1905
42,NAMAYINGO,Namayingo,"237,000",237000,NAMAYINGO,NAMAYINGO,NAMAYINGO,NAMAYINGO,NAMAYINGO,33.804574,-0.317377048,4664.93416,56.35730525,1662.2,0.006322481,25.8,16,12.24,262903.1184
43,RUKUNGIRI,Rukungiri,"333,800",333800,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,RUKUNGIRI,29.88902131,-0.705915699,1532.581628,219.3718513,491,0.001460417,21.4,12.8,1.02,336205.2689
44,PAKWACH,Pakwach,"196,800",196800,NEBBI,NEBBI,PAKWACH,PAKWACH,PAKWACH,31.37024054,2.49313713,1038.553739,185.6919824,283.8,0.001471602,29.4,21,4.9,192851.1027
