FID_,DNAME_2011,Typh_Inc,X_coord,Y_coord,HH_Wash,PH_Lands,P_Density,Urban_leve,ARainfall,Temp_Max,Temp_Min,Typh_Rate,Pn_Floods,P_male,P_Female,Typh_Per,OBJECTID
,ABIM,534,33.73070223,2.747648522,69,4,45.9,15.8999996,102.3000031,29.7000008,18.5,0.004946,3.0999999,52456,55510,0.206406327,0
,ADJUMANI,137,31.76944181,3.225610367,80,0,76.2,18.2000008,110,30.5,18.7999992,0.000608,5.3000002,108298,116953,0.052954432,1
,AGAGO,694,33.34687367,2.909709403,71,0,65.1,12.8000002,104.3000031,30,18.3999996,0.003047,0,110495,117297,0.268250919,2
,ALEBTONG,236,33.2562403,2.267382556,85,0,148,2.0999999,111.9000015,29.8999996,17.2999992,0.001037,1.7,110989,116552,0.091220774,3
,AMOLATAR,647,32.7390094,1.619289939,55,0,127,14.6000004,120,29.5,17.2999992,0.004396,1.7,73014,74152,0.25008407,4
,AMUDAT,254,34.8766708,1.802751605,79,4,65.5,11.1000004,122.5,28.3999996,17.1000004,0.002401,3.0999999,54246,51523,0.09817829,5
,AMURIA,3080,33.68714325,2.103801686,89,0,105,6.4000001,112.1999969,29.6000004,18.2999992,0.001137,3.8,132521,138407,1.190508401,6
,AMURU,194,31.97307753,3.049998392,81,0,51.6,5,109.9000015,30.7000008,19,0.001039,0,91284,95412,0.074986568,7
,APAC,696,32.56536303,1.888926122,85,0,125,20.3999996,116.5,29.8999996,17.1000004,0.001888,1.7,180995,187631,0.269023976,8
,ARUA,8878,31.13689443,2.952324209,60,0,180,7.9000001,112.0999985,30,17.8999996,0.011474,5.3000002,370533,403234,3.431601814,9
,BUDAKA,317,33.98871775,1.059870714,81,0,506,11.5,129.8999939,28.8999996,17,0.001527,3,100620,106977,0.122529598,10
,BUDUDA,1136,34.40758642,1.032022673,81,7,662,6.5,133.8999939,28.5,16.2999992,0.005405,4.1999998,105820,104353,0.439096605,11
,BUGIRI,2476,33.77420003,0.531150471,65,2,368,16.7999992,127.8000031,29,17.1000004,0.006466,1.2,185925,196988,0.957045065,12
,BUHWEJU,308,30.33832384,-0.33085284,73,6,161,2.4000001,95.6999969,28.3999996,15.8999996,0.002551,4.0999999,59059,61661,0.11905084,13
,BUIKWE,3127,33.04059147,0.305652342,64,0,350,70.9000015,124.3000031,28.1000004,17.2999992,0.007396,8.6999998,207324,215447,1.20867525,14
,BUKEDEA,521,34.12441587,1.362005204,89,0,197,5.4000001,129.8000031,28.5,16.8999996,0.002559,3.8,98684,104916,0.201381454,15
,BUKOMANSIMBI,785,31.62825602,-0.129708542,70,0,253,8.5,106.5,27.2999992,16.6000004,0.005184,1.1,75109,76304,0.303425031,16
