FID,dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,X_Coord,Y_Coord,Shape_Area,PDensity,AV_Inc_Rate,Inc_Rate,AV_Tmax,AV_Tmin,AV_Rfall,AV_Popn
0,88,88,0.09999651093820872,0.09999651093820872,MASAKA,MASAKA,MASAKA,MASAKA,MASAKA,31.85558349,-0.49125774,0.2126214412748583,0.016866921594054094,0.050946708913242676,0.21349969474353575,0.5116279069767442,0.5116279069767442,0.10858143607705781,0.10276650092142024
1,27,27,0.02515613551515997,0.02515613551515997,PALLISA,BUTEBO,BUTEBO,BUTEBO,BUTEBO,33.98428948,1.182228229,0.004531361452906231,0.08523879649308354,0.01591412820368446,0.12845478891667741,0.4651162790697674,0.6046511627906979,0.6085814360770578,0.04813235762820055
2,3,3,0.07571264087086982,0.07571264087086982,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,ALEBTONG,33.25570815,2.266683575,0.14436431975523806,0.019046093448148803,0.00022522407235835205,0.0,0.7209302325581395,0.6279069767441858,0.3485113835376532,0.07909401271170877
3,131,132,0.19134014863403231,0.19134014863403231,TORORO,TORORO,TORORO,TORORO,TORORO,34.08224567,0.724973589,0.10577263028341419,0.05747072242143771,0.02407850082667472,0.05407107790932962,0.4883720930232558,0.5348837209302326,0.6768826619964974,0.1930096573043555
4,95,95,0.024214088831513204,0.024214088831513204,MOROTO,MOROTO,MOROTO,MOROTO,MOROTO,34.63164758,2.648687491,0.35545979630964986,0.003014138190779385,0.015878297101263816,0.19328757873624777,0.7209302325581395,0.7209302325581395,0.6978984238178634,0.028197607682258527
5,42,42,0.13296814486584557,0.13296814486584557,KIBAALE,KAGADI,KAGADI,KAGADI,KAGADI,30.81063925,1.014759742,0.1445141855874857,0.03099903346855923,0.09562809363178935,0.31524122304206825,0.6744186046511631,0.5813953488372094,0.5814360770577933,0.13415708559749034
6,49,49,0.17773280764802343,0.17773280764802343,KAMULI,KAMULI,KAMULI,KAMULI,KAMULI,33.10749043,0.937092453,0.1402799500697716,0.041981820047710144,0.07782515445764508,0.19441065545727462,0.7441860465116279,0.5348837209302326,0.42556917688266205,0.1796246936124981
7,10,10,0.0711768605422002,0.0711768605422002,BUDAKA,BUDAKA,BUDAKA,BUDAKA,BUDAKA,33.98856588,1.059667832,0.022906110682948067,0.07084645349017193,0.007765111767445908,0.04237132876917263,0.4883720930232558,0.5348837209302326,0.6768826619964974,0.07469374853196724
8,87,87,0.05554586371724643,0.05554586371724643,MARACHA,MARACHA,MARACHA,MARACHA,MARACHA,30.92691875,3.23693937,0.025932640297497193,0.05404167489659303,0.018888109704598154,0.12867181778848755,0.7209302325581395,0.7209302325581395,0.6190893169877408,0.05891020093411095
9,15,15,0.14828512612958375,0.14828512612958375,BUIKWE,BUIKWE,BUIKWE,BUIKWE,BUIKWE,33.04039905,0.305759286,0.13347271787885964,0.037098365851681595,0.031818018949534455,0.09244347729557374,0.41860465116279055,0.6511627906976742,0.340630472854641,0.1505445372819626
